"TOC.x1"	"TOC.x2"	"TOC.mid"	"ASV.dist"
3.6215	4.395	4.00825	0.889792106315396
4.0915	4.395	4.24325	0.935558488936456
3.122	4.395	3.7585	0.915552066481541
0.6647	4.395	2.52985	0.95732831360088
0.3441	4.395	2.36955	0.958856720072424
2.588	4.395	3.4915	0.976720574799825
2.542	4.395	3.4685	0.976933126705331
3.49	4.395	3.9425	0.962772329223975
4.395	7.1105	5.75275	0.950815730576358
4.395	7.0695	5.73225	0.976002019134454
4.395	6.576	5.4855	0.911573303923138
4.395	6.576	5.4855	0.919921450929889
4.395	5.0125	4.70375	0.921108413775837
4.395	6.2165	5.30575	0.927442404236683
4.395	12.895	8.645	0.894993016030599
4.395	6.3915	5.39325	0.930123220520721
6.652	9.613	8.1325	0.911777451050471
6.652	11.175	8.9135	0.930304265602286
4.114	6.652	5.383	0.893913311873244
6.652	7.6885	7.17025	0.916563765947429
6.652	11.81	9.231	0.953790740744745
6.652	8.8315	7.74175	0.91487771728936
6.652	7.514	7.083	0.903375056712383
6.652	11.945	9.2985	0.92698031069564
2.854	6.652	4.753	0.94128396007709
0.954	6.652	3.803	0.924582473452239
6.652	7.619	7.1355	0.943131414689801
3.427	6.652	5.0395	0.918618097080806
4.859	6.652	5.7555	0.910846222637908
6.652	7.6015	7.12675	0.916755266398092
6.652	7.365	7.0085	0.905778369963251
6.525	6.652	6.5885	0.961456343832947
6.652	12.275	9.4635	0.911227170310129
1.3135	6.652	3.98275	0.906945902690737
6.652	9.409	8.0305	0.902648360062801
6.652	7.2185	6.93525	0.929955889052282
6.652	7.5375	7.09475	0.91885990235435
6.652	8.522	7.587	0.907293689495205
6.652	7.441	7.0465	0.929836191154906
4.9925	6.652	5.82225	0.911214146350795
6.652	6.836	6.744	0.925819947880216
5.6115	6.652	6.13175	0.930219212452429
6.652	9.503	8.0775	0.909563199163131
6.652	7.5525	7.10225	0.894058411026378
6.107	6.652	6.3795	0.908521466595309
6.652	7.063	6.8575	0.899487019229705
6.652	12.545	9.5985	0.914756747800942
6.652	10.78	8.716	0.904940437305641
6.652	9.1175	7.88475	0.91582960980588
5.9425	6.652	6.29725	0.90674682022904
5.5715	6.652	6.11175	0.871973892055663
4.514	6.652	5.583	0.923216491631396
5.492	6.652	6.072	0.91697125063309
3.7675	6.652	5.20975	0.913140134814463
6.2985	6.652	6.47525	0.929163924547616
6.652	8.0215	7.33675	0.887245824337306
3.6585	6.652	5.15525	0.865254273679686
2.8325	6.652	4.74225	0.905744904124431
6.652	9.6795	8.16575	0.904436681515564
6.652	7.026	6.839	0.886011561833338
5.8555	6.652	6.25375	0.922937566138462
6.652	7.1735	6.91275	0.934276994347073
6.652	9.1145	7.88325	0.902378470679666
6.652	6.6945	6.67325	0.914352449268194
2.3695	6.652	4.51075	0.947000419650867
3.6215	6.652	5.13675	0.910775912767361
4.0915	6.652	5.37175	0.948044939006767
3.122	6.652	4.887	0.932284435866182
0.6647	6.652	3.65835	0.932525193041361
0.3441	6.652	3.49805	0.930032573270845
2.588	6.652	4.62	0.907900076950652
2.542	6.652	4.597	0.941099497613934
3.49	6.652	5.071	0.969726877864243
6.652	7.1105	6.88125	0.938956529318706
6.652	7.0695	6.86075	0.920632720908912
6.576	6.652	6.614	0.935266789188634
6.576	6.652	6.614	0.93047768592668
5.0125	6.652	5.83225	0.913758358839926
6.2165	6.652	6.43425	0.934272819521469
6.652	12.895	9.7735	0.953044450676322
6.3915	6.652	6.52175	0.948308361257661
9.613	11.175	10.394	0.932278067227153
4.114	9.613	6.8635	0.867832468049358
7.6885	9.613	8.65075	0.823587387719804
9.613	11.81	10.7115	0.957484138812126
8.8315	9.613	9.22225	0.899427566969293
7.514	9.613	8.5635	0.799033984797513
9.613	11.945	10.779	0.947860862891724
2.854	9.613	6.2335	0.950542144127365
0.954	9.613	5.2835	0.914889595040242
7.619	9.613	8.616	0.929474159132501
3.427	9.613	6.52	0.917214057076312
4.859	9.613	7.236	0.872025667007397
7.6015	9.613	8.60725	0.917965297153419
7.365	9.613	8.489	0.852231993221472
6.525	9.613	8.069	0.919605540850127
9.613	12.275	10.944	0.922006058098532
1.3135	9.613	5.46325	0.872649328332331
9.409	9.613	9.511	0.890693016886304
7.2185	9.613	8.41575	0.932845376344721
7.5375	9.613	8.57525	0.844848849925686
8.522	9.613	9.0675	0.887949121049154
7.441	9.613	8.527	0.910748208349099
4.9925	9.613	7.30275	0.849630702793208
6.836	9.613	8.2245	0.903510141946239
5.6115	9.613	7.61225	0.906437312578688
9.503	9.613	9.558	0.874049900859041
7.5525	9.613	8.58275	0.916375028789449
6.107	9.613	7.86	0.916240009896679
7.063	9.613	8.338	0.80554643092822
9.613	12.545	11.079	0.830934746353946
9.613	10.78	10.1965	0.820752044127027
9.1175	9.613	9.36525	0.853833664846894
5.9425	9.613	7.77775	0.931087564162694
5.5715	9.613	7.59225	0.928417873867483
4.514	9.613	7.0635	0.916031083869405
5.492	9.613	7.5525	0.921799518976052
3.7675	9.613	6.69025	0.898989593627738
6.2985	9.613	7.95575	0.943457525683003
8.0215	9.613	8.81725	0.903684808203617
3.6585	9.613	6.63575	0.897372039020646
2.8325	9.613	6.22275	0.87543725763727
9.613	9.6795	9.64625	0.894140414084728
7.026	9.613	8.3195	0.887897970125777
5.8555	9.613	7.73425	0.942463068667299
7.1735	9.613	8.39325	0.938723581150237
9.1145	9.613	9.36375	0.880795698460726
6.6945	9.613	8.15375	0.918254994690474
2.3695	9.613	5.99125	0.967573877021491
3.6215	9.613	6.61725	0.94024649442027
4.0915	9.613	6.85225	0.963432893632471
3.122	9.613	6.3675	0.96391484670589
0.6647	9.613	5.13885	0.919356546516788
0.3441	9.613	4.97855	0.946670126323038
2.588	9.613	6.1005	0.934058017687058
2.542	9.613	6.0775	0.955925154168153
3.49	9.613	6.5515	0.982541071988421
7.1105	9.613	8.36175	0.961106696019431
7.0695	9.613	8.34125	0.9433119473251
6.576	9.613	8.0945	0.947332138241843
6.576	9.613	8.0945	0.955299883605898
5.0125	9.613	7.31275	0.914023875363286
6.2165	9.613	7.91475	0.905467736929405
9.613	12.895	11.254	0.964343111796473
6.3915	9.613	8.00225	0.956424552980419
4.114	11.175	7.6445	0.960158367275294
7.6885	11.175	9.43175	0.915311366159719
11.175	11.81	11.4925	0.939193970092299
8.8315	11.175	10.00325	0.950672605130929
7.514	11.175	9.3445	0.941574040466382
11.175	11.945	11.56	0.95140267217877
2.854	11.175	7.0145	0.978071888957789
0.954	11.175	6.0645	0.890537373968974
7.619	11.175	9.397	0.951547379063289
3.427	11.175	7.301	0.906156299478415
4.859	11.175	8.017	0.885248635723834
7.6015	11.175	9.38825	0.931757625094288
7.365	11.175	9.27	0.8986827207795
6.525	11.175	8.85	0.977728741035345
11.175	12.275	11.725	0.952142970545168
1.3135	11.175	6.24425	0.896602538110838
9.409	11.175	10.292	0.850677581741926
7.2185	11.175	9.19675	0.935226325120867
7.5375	11.175	9.35625	0.870212591788718
8.522	11.175	9.8485	0.86609313500762
7.441	11.175	9.308	0.876307050482702
4.9925	11.175	8.08375	0.90271026217902
6.836	11.175	9.0055	0.847573470732731
5.6115	11.175	8.39325	0.9118116526433
9.503	11.175	10.339	0.862667513365643
7.5525	11.175	9.36375	0.920110972356397
6.107	11.175	8.641	0.870850437702589
7.063	11.175	9.119	0.910469185476501
11.175	12.545	11.86	0.91576536824101
10.78	11.175	10.9775	0.870481637720048
9.1175	11.175	10.14625	0.88303997213859
5.9425	11.175	8.55875	0.881934755128648
5.5715	11.175	8.37325	0.92998785279368
4.514	11.175	7.8445	0.856691228153604
5.492	11.175	8.3335	0.852758389113606
3.7675	11.175	7.47125	0.896952663792823
6.2985	11.175	8.73675	0.951468140928306
8.0215	11.175	9.59825	0.933408464790321
3.6585	11.175	7.41675	0.892670033759461
2.8325	11.175	7.00375	0.954471167950368
9.6795	11.175	10.42725	0.927129378672165
7.026	11.175	9.1005	0.87385244887961
5.8555	11.175	8.51525	0.948356176465366
7.1735	11.175	9.17425	0.951290694460058
9.1145	11.175	10.14475	0.864788924383676
6.6945	11.175	8.93475	0.935651903855136
2.3695	11.175	6.77225	0.938512457976491
3.6215	11.175	7.39825	0.931477201730875
4.0915	11.175	7.63325	0.96583822837509
3.122	11.175	7.1485	0.947932596083033
0.6647	11.175	5.91985	0.953906951178122
0.3441	11.175	5.75955	0.95494672018549
2.588	11.175	6.8815	0.9352797916195
2.542	11.175	6.8585	0.9605169671094
3.49	11.175	7.3325	0.968554999409147
7.1105	11.175	9.14275	0.965785776199631
7.0695	11.175	9.12225	0.955766817163359
6.576	11.175	8.8755	0.950549383121418
6.576	11.175	8.8755	0.952748114552566
5.0125	11.175	8.09375	0.919370955092593
6.2165	11.175	8.69575	0.861122000084356
11.175	12.895	12.035	0.942262446389778
6.3915	11.175	8.78325	0.899523441638953
4.114	7.6885	5.90125	0.871172659901548
4.114	11.81	7.962	0.954463542028675
